Название;Цена;При обмене;Характеристика;Ссылка
Аккумулятор DEKA INTIMIDATOR 8AU1 32A;9200руб.;9200руб.;Емкость: 32 АчНоминальное напряжение: 12 ВПолярность:Прямая [+ -]Габариты: 197x132x186Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-deka-intimidator-8au1-32a-197h132h186.html
Аккумулятор DEKA INTIMIDATOR 8AU1H 32A;9200руб.;9200руб.;Емкость: 32 АчНоминальное напряжение: 12 ВПолярность:Прямая [+ -]Габариты: 197x132x186Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-deka-intimidator-8au1h-32a-197h132h186.html
Аккумулятор DEKA 8GU1 12V 33A;11200руб.;11200руб.;Емкость: 33 АчНоминальное напряжение: 12 ВПолярность:Прямая [+ -]Габариты: 197x130x184Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-deka-8gu1-12v-33a-197h130h184.html
Аккумулятор DEKA 8G40C 12V 42A;15600руб.;15600руб.;Емкость: 42 АчНоминальное напряжение: 12 ВПолярность:Обратная [- +]Габариты: 197x168x175Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-deka-8g40c-12v-42a-197x168x175.html
Аккумулятор DEKA INTIMIDATOR 8A22NF 55A;15600руб.;15600руб.;Емкость: 55 АчНоминальное напряжение: 12 ВПолярность:Обратная [- +]Габариты: 230x137x227Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-deka-intimidator-8a22nf-55a-230h137h227.html
Аккумулятор DEKA GC15 6V 230A;16200руб.;15000руб.;Емкость: 230 АчНоминальное напряжение: 6 ВПолярность:УниверсальнаяГабариты: 260x181x276Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-deka-gc15-6v-230a-260h181h276.html
Аккумулятор DEKA 8G22NF 12V 54A;17100руб.;17100руб.;Емкость: 54 АчНоминальное напряжение: 12 ВПолярность:Обратная [- +]Габариты: 238x140x227Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-deka-8g22nf-12v-54a-238h140h227.html
Аккумулятор DEKA GC8V 165A;17800руб.;16600руб.;Емкость: 165 АчНоминальное напряжение: 8 ВПолярность:УниверсальнаяГабариты: 260x181x286Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-deka-gc8v-165a-260h181h286.html
Аккумулятор DEKA GC25 6V 235A;17900руб.;16700руб.;Емкость: 235 АчНоминальное напряжение: 6 ВПолярность:УниверсальнаяГабариты: 260x181x276Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-deka-gc25-6v-235a-260h181h276.html
Аккумулятор DEKA 8G34R 12V 63A;19400руб.;19400руб.;Емкость: 63 АчНоминальное напряжение: 12 ВПолярность:Обратная [- +]Габариты: 260x169x178Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-deka-8g34r-12v-63a-260h169h178.html
Аккумулятор DEKA INTIMIDATOR 8A24M 79A;20100руб.;20100руб.;Емкость: 79 АчНоминальное напряжение: 12 ВПолярность:Прямая [+ -]Габариты: 260x171x236Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-deka-intimidator-8a24m-79a-260h171h236.html
Аккумулятор DEKA GC45 6V 260A;22000руб.;20600руб.;Емкость: 235 АчНоминальное напряжение: 6 ВПолярность:УниверсальнаяГабариты: 260x181x302Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-deka-gc45-6v-260a-260h181h302.html
Аккумулятор DEKA 8G24M 12V 77A;22300руб.;22300руб.;Емкость: 77 АчНоминальное напряжение: 12 ВПолярность:Прямая [+ -]Габариты: 260x171x236Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-deka-8g24m-12v-77a-260h171h236.html
Аккумулятор DEKA INTIMIDATOR 8A27M 92A;23800руб.;22700руб.;Емкость: 92 АчНоминальное напряжение: 12 ВПолярность:Прямая [+ -]Габариты: 300x171x236Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-deka-intimidator-8a27m-92a-300h171h236.html
Аккумулятор DEKA INTIMIDATOR 9A31Р 100A;24900руб.;24900руб.;Емкость: 100 АчНоминальное напряжение: 12 ВПолярность:УниверсальнаяГабариты: 330x171x236Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-deka-intimidator-9a31r-100a-330h171h236.html
Аккумулятор DEKA 8G27M 12V 91A;26000руб.;26000руб.;Емкость: 91 АчНоминальное напряжение: 12 ВПолярность:Прямая [+ -]Габариты: 300x171x236Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-deka-8g27m-12v-91a-300h171h236.html
Аккумулятор DEKA INTIMIDATOR 8A31DT 105A;26000руб.;24800руб.;Емкость: 105 АчНоминальное напряжение: 12 ВПолярность:УниверсальнаяГабариты: 329x171x236Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-deka-intimidator-8a31dt-105a-329h171h236.html
Аккумулятор DEKA GC12V 155A;26900руб.;25300руб.;Емкость: 125 АчНоминальное напряжение: 12 ВПолярность:УниверсальнаяГабариты: 330x179x289Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-deka-gc12v-155a-330h179h289.html
Аккумулятор DEKA 8G31DT 12V 102A;27800руб.;26600руб.;Емкость: 102 АчНоминальное напряжение: 12 ВПолярность:Прямая [+ -]Габариты: 330x171x236Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-deka-8g31dt-12v-102a-330h171h236.html
Аккумулятор DEKA 8AGC2 6V 190A;28000руб.;26800руб.;Емкость: 190 АчНоминальное напряжение: 6 ВПолярность:УниверсальнаяГабариты: 260x181x276Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-deka-8agc2-6v-190a-260h181h276.html
Аккумулятор DEKA 8C6V 330A;29100руб.;27500руб.;Емкость: 330 АчНоминальное напряжение: 6 ВПолярность:УниверсальнаяГабариты: 298x178x365Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-deka-8c6v-330a-298h178h365.html
Аккумулятор DEKA 8GGC2 6V 189A;30200руб.;29000руб.;Емкость: 189 АчНоминальное напряжение: 6 ВПолярность:УниверсальнаяГабариты: 260x181x276Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-deka-8ggc2-6v-189a-260h181h276.html
Аккумулятор DEKA 8GTE35 6V 210A;31100руб.;29900руб.;Емкость: 210 АчНоминальное напряжение: 6 ВПолярность:УниверсальнаяГабариты: 244x191x270Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-deka-8gte35-6v-210a-244h191h270.html
Аккумулятор DEKA 8L16 6V 370A;31400руб.;29400руб.;Емкость: 370 АчНоминальное напряжение: 6 ВПолярность:УниверсальнаяГабариты: 298x178x419Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-deka-8l6v-370a-298h178h419.html
Аккумулятор DEKA 8G8VGC 8V 155A;31600руб.;30400руб.;Емкость: 155 АчНоминальное напряжение: 8 ВПолярность:УниверсальнаяГабариты: 260x181x286Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-deka-8g8vgc-8v-155a-260h181h286.html
Аккумулятор DEKA 8C12 12V 195A;33400руб.;31400руб.;Емкость: 195 АчНоминальное напряжение: 12 ВПолярность:Обратная [- +]Габариты: 394x178x362Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-deka-8c12-12v-195a-394h178h362.html
Аккумулятор DEKA 8G5SHP 12V 125A;35100руб.;33900руб.;Емкость: 125 АчНоминальное напряжение: 12 ВПолярность:Обратная [- +]Габариты: 345x168x280Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-deka-8g5shp-12v-125a-345h168h280.html
Аккумулятор DEKA 9C12 12V 228A;37800руб.;35600руб.;Емкость: 228 АчНоминальное напряжение: 12 ВПолярность:Обратная [- +]Габариты: 394x178x362Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-deka-9c12-12v-228a-394h178h362.html
Аккумулятор DEKA INTIMIDATOR 8A4D 198A;49700руб.;49700руб.;Емкость: 198 АчНоминальное напряжение: 12 ВПолярность:Обратная [- +]Габариты: 518x216x254Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-deka-intimidator-8a4d-198a-518h216h254.html
Аккумулятор DEKA 8G4D 12V 193A;54500руб.;54500руб.;Емкость: 193 АчНоминальное напряжение: 12 ВПолярность:Обратная [- +]Габариты: 527x216x254Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-deka-8g4d-12v-193a-527h216h254.html
Аккумулятор DEKA INTIMIDATOR 8A8D 245A;59500руб.;59500руб.;Емкость: 245 АчНоминальное напряжение: 12 ВПолярность:Обратная [- +]Габариты: 518x279x254Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-deka-intimidator-8a8d-245a-518h279h254.html
Аккумулятор DEKA 8G8D 12V 237A;65500руб.;65500руб.;Емкость: 237 АчНоминальное напряжение: 12 ВПолярность:Обратная [- +]Габариты: 527x279x254Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-deka-8g8d-12v-237a-527x279x254.html
