Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
јккумул€тор MOLL MG 60R;5900руб.;5400руб.;≈мкость: 60 јчѕусковой ток: 550 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x190√аранти€: 40 мес€цев;https://akbmag.ru//catalog/akkumulator-moll-mg-standard-60r-550a-242x175x190.html
јккумул€тор MOLL M3plus 50R (низкий);6200руб.;5900руб.;≈мкость: 50 јчѕусковой ток: 420 јѕол€рность:ќбратна€ [- +]√абариты: 207x175x175√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-moll-m3plus-50r-420a-207h175h175.html
јккумул€тор MOLL MG 62R;6200руб.;5700руб.;≈мкость: 62 јчѕусковой ток: 600 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x190√аранти€: 40 мес€цев;https://akbmag.ru//catalog/akkumulator-moll-mg-standard-62r-600a-242x175x190.html
јккумул€тор MOLL MG 62L;6200руб.;5700руб.;≈мкость: 62 јчѕусковой ток: 600 јѕол€рность:ѕр€ма€ [+ -]√абариты: 242x175x190√аранти€: 40 мес€цев;https://akbmag.ru//catalog/akkumulator-moll-mg-standard-62l-600a-242x175x190.html
јккумул€тор MOLL MG 62SR (низкий);6200руб.;5700руб.;≈мкость: 62 јчѕусковой ток: 600 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x175√аранти€: 40 мес€цев;https://akbmag.ru//catalog/akkumulator-moll-mg-standard-62sr-600a-242x175x175.html
јккумул€тор MOLL Kamina Start 62RS (низкий);6200руб.;5700руб.;≈мкость: 62 јчѕусковой ток: 510 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x175√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-moll-kamina-start-62rs-510a-242x175x175.html
јккумул€тор MOLL Kamina Start 62R;6200руб.;5700руб.;≈мкость: 62 јчѕусковой ток: 520 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x190√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-moll-kamina-start-62r-520a-242x175x190.html
јккумул€тор MOLL Kamina Start 74R;7450руб.;6850руб.;≈мкость: 74 јчѕусковой ток: 680 јѕол€рность:ќбратна€ [- +]√абариты: 276x175x190√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-moll-kamina-start-74r-680a-276x175x190.html
јккумул€тор MOLL M3plus 60R (низкий);7600руб.;7100руб.;≈мкость: 60 јчѕусковой ток: 550 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x175√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-moll-m3plus-60r-550a-242x175x175.html
јккумул€тор MOLL Kamina Start 71RS (низкий);7700руб.;7100руб.;≈мкость: 71 јчѕусковой ток: 680 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x175√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-moll-kamina-start-71rs-680a-278x175x175.html
јккумул€тор MOLL M3plus 62R;7900руб.;7400руб.;≈мкость: 62 јчѕусковой ток: 600 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x190√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-moll-m3plus-62r-600a-242x175x190.html
јккумул€тор MOLL MG 66R (низкий);8000руб.;7500руб.;≈мкость: 66 јчѕусковой ток: 650 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x175√аранти€: 40 мес€цев;https://akbmag.ru//catalog/akkumulator-moll-mg-standard-66r-650a-278x175x175.html
јккумул€тор MOLL MG 75R;8200руб.;7600руб.;≈мкость: 75 јчѕусковой ток: 720 јѕол€рность:ќбратна€ [- +]√абариты: 276x175x190√аранти€: 40 мес€цев;https://akbmag.ru//catalog/akkumulator-moll-mg-standard-75r-720a-276x175x190.html
јккумул€тор MOLL MG 75SR  (низкий);8200руб.;7600руб.;≈мкость: 75 јчѕусковой ток: 720 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x175√аранти€: 40 мес€цев;https://akbmag.ru//catalog/akkumulator-moll-mg-standard-75-sr-720a-278x175x175.html
јккумул€тор MOLL Kamina Start 80RS (низкий);8300руб.;7700руб.;≈мкость: 80 јчѕусковой ток: 680 јѕол€рность:ќбратна€ [- +]√абариты: 315x175x175√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-moll-kamina-start-80rs-680a-315x175x175.html
јккумул€тор MOLL MG 80RS (низкий);8600руб.;8000руб.;≈мкость: 80 јчѕусковой ток: 750 јѕол€рность:ќбратна€ [- +]√абариты: 315x175x175√аранти€: 40 мес€цев;https://akbmag.ru//catalog/akkumulator-moll-mg-standard-80rs-750a-315x175x175.html
јккумул€тор MOLL M3plus 71R (низкий);8900руб.;8300руб.;≈мкость: 71 јчѕусковой ток: 620 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x175√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-moll-m3plus-71r-620a-278x175x175.html
јккумул€тор MOLL M3plus 75R;9300руб.;8700руб.;≈мкость: 75 јчѕусковой ток: 680 јѕол€рность:ќбратна€ [- +]√абариты: 276x175x190√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-moll-m3plus-75r-680a-276x175x190.html
јккумул€тор MOLL Kamina Start 90RS (низкий);9400руб.;8700руб.;≈мкость: 90 јчѕусковой ток: 780 јѕол€рность:ќбратна€ [- +]√абариты: 353x175x175√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-moll-kamina-start-90rs-780a-353x175x175.html
јккумул€тор MOLL Kamina Start 100R;10500руб.;9800руб.;≈мкость: 100 јчѕусковой ток: 850 јѕол€рность:ќбратна€ [- +]√абариты: 353x175x190√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-moll-kamina-start-100r-850a-353x175x190.html
јккумул€тор MOLL MG Standard 105R;10900руб.;10200руб.;≈мкость: 105 јчѕусковой ток: 900 јѕол€рность:ќбратна€ [- +]√абариты: 353x175x190√аранти€: 40 мес€цев;https://akbmag.ru//catalog/akkumulator-moll-mg-standard-105r-900a-353x175x190.html
јккумул€тор MOLL MG Asia 110R;10900руб.;10200руб.;≈мкость: 110 јчѕусковой ток: 835 јѕол€рность:ќбратна€ [- +]√абариты: 292x170x215√аранти€: 40 мес€цев;https://akbmag.ru//catalog/akkumulator-moll-mg-standard-asia-110r-835a-292x170x215.html
јккумул€тор MOLL M3plus 91R (низкий);11800руб.;11100руб.;≈мкость: 91 јчѕусковой ток: 800 јѕол€рность:ќбратна€ [- +]√абариты: 354x175x175√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-moll-m3plus-91r-800a-354x175x175.html
јккумул€тор MOLL AGM Start-Stop  60R;12500руб.;12000руб.;≈мкость: 60 јчѕусковой ток: 640 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x190√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-moll-agm-60r-start-stop-640a-242x175x190.html
јккумул€тор MOLL M3plus 100R;12500руб.;11800руб.;≈мкость: 100 јчѕусковой ток: 850 јѕол€рность:ќбратна€ [- +]√абариты: 353x175x190√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-moll-m3plus-100r-850a-353x175x190.html
јккумул€тор MOLL AGM Start-Stop 70R;13900руб.;13400руб.;≈мкость: 70 јчѕусковой ток: 760 јѕол€рность:ќбратна€ [- +]√абариты: 276x175x190√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-moll-agm-70r-start-stop-760a-276x175x190.html
јккумул€тор MOLL X-TRA Charge 110R;14400руб.;13700руб.;≈мкость: 110 јчѕусковой ток: 900 јѕол€рность:ќбратна€ [- +]√абариты: 394x175x190√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-moll-x-tra-charge-110r-900a-394h175h190.html
јккумул€тор MOLL AGM Start-Stop 80R;16400руб.;15800руб.;≈мкость: 80 јчѕусковой ток: 800 јѕол€рность:ќбратна€ [- +]√абариты: 315x175x190√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-moll-agm-80r-start-stop-800a-315x175x190.html
јккумул€тор MOLL EFB Start-Stop 95R;16500руб.;15800руб.;≈мкость: 95 јчѕусковой ток: 900 јѕол€рность:ќбратна€ [- +]√абариты: 353x175x190√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-moll-efb-95r-start-stop-900a-353x175x190.html
јккумул€тор MOLL MG Standard 196 euro;16800руб.;15400руб.;≈мкость: 196 јчѕусковой ток: 1250 јѕол€рность:ќбратна€ [+ -]√абариты: 513x223x223√аранти€: 40 мес€цев;https://akbmag.ru//catalog/akkumulator-moll-mg-standard-196euro-1246a-513x223x223.html
јккумул€тор MOLL AGM Start-Stop 95R;17600руб.;16900руб.;≈мкость: 95 јчѕусковой ток: 850 јѕол€рность:ќбратна€ [- +]√абариты: 353x175x190√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-moll-agm-95r-start-stop-850a-353x175x190.html
