Название;Цена;При обмене;Характеристика;Ссылка
Аккумулятор Red Energy DS 12-04;1326руб.;1301руб.;Емкость: 4 АчПусковой ток: 60 АПолярность:Обратная [- +]Габариты: 114x70x87Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-red-energy-ds-12-04.html
Аккумулятор Red Energy DS 12-05;1527руб.;1502руб.;Емкость: 5 АчПусковой ток: 85 АПолярность:Обратная [- +]Габариты: 114x70x106Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-red-energy-ds-12-05.html
Аккумулятор Red Energy DS 12-05.1;1722руб.;1697руб.;Емкость: 5 АчПусковой ток: 50 АПолярность:Обратная [- +]Габариты: 120x61x129Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-red-energy-ds-12-05.1.html
Аккумулятор Red Energy DS 12-07;2125руб.;2075руб.;Емкость: 7 АчПусковой ток: 110 АПолярность:Прямая [+ -]Габариты: 150x87x93Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-red-energy-ds-12-07.html
Аккумулятор Red Energy DS 12-07.1;2229руб.;2179руб.;Емкость: 7 АчПусковой ток: 110 АПолярность:Обратная [- +]Габариты: 114x71x131Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-red-energy-ds-12-07.1.html
Аккумулятор Red Energy DS 12-08;2301руб.;2251руб.;Емкость: 8 АчПусковой ток: 120 АПолярность:Прямая [+ -]Габариты: 150x66x95Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-red-energy-ds-12-08.html
Аккумулятор Red Energy DS 12-09;2593руб.;2543руб.;Емкость: 9 АчПусковой ток: 140 АПолярность:Прямая [+ -]Габариты: 150x86x108Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-red-energy-ds-12-09.html
Аккумулятор Red Energy DS 12-10;2840руб.;2790руб.;Емкость: 10 АчПусковой ток: 110 АПолярность:Прямая [+ -]Габариты: 137x77x135Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-red-energy-ds-12-10.html
Аккумулятор Red Energy DS 12-10.1;3133руб.;3083руб.;Емкость: 10 АчПусковой ток: 200 АПолярность:Прямая [+ -]Габариты: 150x87x93Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-red-energy-ds-12-10.1.html
Аккумулятор Red Energy DS 12-11;3237руб.;3187руб.;Емкость: 11 АчПусковой ток: 220 АПолярность:Прямая [+ -]Габариты: 150x86x112Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-red-energy-ds-12-11.html
Аккумулятор Red Energy DS 12-12;3490руб.;3440руб.;Емкость: 12 АчПусковой ток: 185 АПолярность:Прямая [+ -]Габариты: 150x86x131Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-red-energy-ds-12-12.html
Аккумулятор Red Energy DS 12-12.1;3594руб.;3544руб.;Емкость: 12 АчПусковой ток: 165 АПолярность:Прямая [+ -]Габариты: 150x71x130Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-red-energy-ds-12-12.1.html
Аккумулятор Red Energy DS 12-14;4381руб.;4331руб.;Емкость: 14 АчПусковой ток: 210 АПолярность:Прямая [+ -]Габариты: 151x88x147Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-red-energy-ds-12-14.html
Аккумулятор Red Energy DS 12-16.1;4647руб.;4597руб.;Емкость: 12 АчПусковой ток: 235 АПолярность:Прямая [+ -]Габариты: 150x88x164Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-red-energy-ds-12-16.1.html
Аккумулятор Red Energy DS 12-201;5772руб.;5672руб.;Емкость: 20 АчПусковой ток: 285 АПолярность:Обратная [- +]Габариты: 177x88x154Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-red-energy-ds-12-201.html
Аккумулятор Red Energy DS 12-20;6051руб.;5951руб.;Емкость: 20 АчПусковой ток: 260 АПолярность:Прямая [+ -]Габариты: 204x91x159Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-red-energy-ds-12-20.html
