Название;Цена;При обмене;Характеристика;Ссылка
Аккумулятор ЗВЕРЬ 55R;4150руб.;3650руб.;Емкость: 55 АчПусковой ток: 530 АПолярность:Обратная [- +]Габариты: 242x175x190Гарантия: 36 месяцев;https://akbmag.ru//catalog/akkumulator-zver-55r-530a-242x175x190.html
Аккумулятор ЗВЕРЬ 60R;4350руб.;3850руб.;Емкость: 60 АчПусковой ток: 600 АПолярность:Обратная [- +]Габариты: 242x175x190Гарантия: 36 месяцев;https://akbmag.ru//catalog/akkumulator-zver-60r-600a-242x175x190.html
Аккумулятор ЗВЕРЬ 60L;4350руб.;3850руб.;Емкость: 60 АчПусковой ток: 600 АПолярность:Прямая [+ -]Габариты: 242x175x190Гарантия: 36 месяцев;https://akbmag.ru//catalog/akkumulator-zver-60l-600a-242x175x190.html
Аккумулятор ЗВЕРЬ 63L;4500руб.;4000руб.;Емкость: 63 АчПусковой ток: 620 АПолярность:Прямая [+ -]Габариты: 242x175x190Гарантия: 36 месяцев;https://akbmag.ru//catalog/akkumulator-zver-63l-620a-242x175x190.html
Аккумулятор ЗВЕРЬ 65R;4650руб.;4150руб.;Емкость: 65 АчПусковой ток: 700 АПолярность:Обратная [- +]Габариты: 242x175x190Гарантия: 36 месяцев;https://akbmag.ru//catalog/akkumulator-zver-65r-700a-242x175x190.html
Аккумулятор ЗВЕРЬ 77L;4900руб.;4300руб.;Емкость: 77 АчПусковой ток: 800 АПолярность:Прямая [+ -]Габариты: 278x175x190Гарантия: 36 месяцев;https://akbmag.ru//catalog/akkumulator-zver-77l-720a-278x175x190.html
Аккумулятор ЗВЕРЬ 110D26L (82R);5850руб.;5250руб.;Емкость: 82 АчПусковой ток: 700 АПолярность:Обратная [- +]Габариты: 255x171x221Гарантия: 36 месяцев;https://akbmag.ru//catalog/akkumulator-zver-110d26l-82r-750a-255h171h221.html
Аккумулятор ЗВЕРЬ 100L;6500руб.;5800руб.;Емкость: 100 АчПусковой ток: 900 АПолярность:Прямая [+ -]Габариты: 353x175x190Гарантия: 36 месяцев;https://akbmag.ru//catalog/akkumulator-zver-100l-900a-353x175x190.html
Аккумулятор ЗВЕРЬ 100R;6500руб.;5800руб.;Емкость: 100 АчПусковой ток: 940 АПолярность:Обратная [- +]Габариты: 353x175x190Гарантия: 36 месяцев;https://akbmag.ru//catalog/akkumulator-zver-100r-940a-353x175x190.html
Аккумулятор ЗВЕРЬ 110R;6750руб.;6050руб.;Емкость: 110 АчПусковой ток: 950 АПолярность:Обратная [- +]Габариты: 353x175x190Гарантия: 36 месяцев;https://akbmag.ru//catalog/akkumulator-zver-110r-950a-353x175x190.html
Аккумулятор ЗВЕРЬ 190 рус 1400A;13500руб.;12100руб.;Емкость: 190 АчПусковой ток: 1350 АПолярность:Прямая [- +]Габариты: 514x218x210Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-zver-190rus-1350a-514x218x210.html
Аккумулятор ЗВЕРЬ 190 euro 1400A;13500руб.;12100руб.;Емкость: 190 АчПусковой ток: 1350 АПолярность:Обратная [+ -]Габариты: 514x218x210Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-zver-190-euro-1400a-514x218x210.html
