Название;Цена;При обмене;Характеристика;Ссылка
Аккумулятор SOLITE 44Rs (44B19LB);3900руб.;3600руб.;Емкость: 44 АчПусковой ток: 370 АПолярность:Обратная [- +]Габариты: 187x127x220Гарантия: 36 месяцев;https://akbmag.ru//catalog/akkumulator-solite-44b19lb-44r-370a-187x127x199.html
Аккумулятор SOLITE 44Ls (44B19RB);3900руб.;3600руб.;Емкость: 44 АчПусковой ток: 370 АПолярность:Прямая [+ -]Габариты: 187x127x220Гарантия: 36 месяцев;https://akbmag.ru//catalog/akkumulator-solite-44b19rb-44l-370a-187x127x199.html
Аккумулятор SOLITE 50Rs (65B24L);4300руб.;4000руб.;Емкость: 50 АчПусковой ток: 470 АПолярность:Обратная [- +]Габариты: 236x128x220Гарантия: 36 месяцев;https://akbmag.ru//catalog/akkumulator-solite-65b24l-50r-470a-236x128x220.html
Аккумулятор SOLITE 50L (65B24R);4300руб.;4000руб.;Емкость: 50 АчПусковой ток: 470 АПолярность:Прямая [+ -]Габариты: 236x128x220Гарантия: 36 месяцев;https://akbmag.ru//catalog/akkumulator-solite-65b24r-50l-470a-236x128x220.html
Аккумулятор SOLITE 50R (CMF50AL);4700руб.;4400руб.;Емкость: 50 АчПусковой ток: 470 АПолярность:Обратная [- +]Габариты: 206x172x220Гарантия: 36 месяцев;https://akbmag.ru//catalog/akkumulator-solite-50al-50r-470a-206x172x205.html
Аккумулятор SOLITE 50L (CMF50AR);4700руб.;4400руб.;Емкость: 50 АчПусковой ток: 470 АПолярность:Прямая [+ -]Габариты: 206x172x220Гарантия: 36 месяцев;https://akbmag.ru//catalog/akkumulator-solite-50ar-50l-470a-206x172x184.html
Аккумулятор SOLITE CMF 26-R550;5450руб.;4950руб.;Емкость: 60 АчПусковой ток: 550 АПолярность:Обратная [- +]Габариты: 206x172x205Гарантия: 36 месяцев;https://akbmag.ru//catalog/akkumulator-solite-cmf-26-r550-60r-550a-206x172x205.html
Аккумулятор SOLITE 65R (75D23LS);5750руб.;5250руб.;Емкость: 65 АчПусковой ток: 550 АПолярность:Обратная [- +]Габариты: 230x168x205Гарантия: 36 месяцев;https://akbmag.ru//catalog/akkumulator-solite-75d23l-65r-550a-230x168x220.html
Аккумулятор SOLITE 70R (85D23LBS);5900руб.;5400руб.;Емкость: 70 АчПусковой ток: 580 АПолярность:Обратная [- +]Габариты: 230x172x204Гарантия: 36 месяцев;https://akbmag.ru//catalog/akkumulator-solite-85d23lb-70r-580a-230x168x204.html
Аккумулятор SOLITE 70L (85D23RB);5900руб.;5400руб.;Емкость: 70 АчПусковой ток: 580 АПолярность:Прямая [+ -]Габариты: 230x172x204Гарантия: 36 месяцев;https://akbmag.ru//catalog/akkumulator-solite-85d23r-70l-580a-230x172x204.html
Аккумулятор SOLITE 85L (95D26RB);6250руб.;5650руб.;Емкость: 85 АчПусковой ток: 650 АПолярность:Прямая [+ -]Габариты: 260x168x220Гарантия: 36 месяцев;https://akbmag.ru//catalog/akkumulator-solite-95d26rb-85l-650a-260x168x220.html
Аккумулятор SOLITE 85R (95D26L)без борта;6250руб.;5650руб.;Емкость: 85 АчПусковой ток: 650 АПолярность:Обратная [- +]Габариты: 260x168x220Гарантия: 36 месяцев;https://akbmag.ru//catalog/akkumulator-solite-95d26l-bez-borta-85r-650a-260x168x220.html
