Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
јккумул€тор BOST 55R (70B24LS);4500руб.;4000руб.;≈мкость: 55 јчѕусковой ток: 480 јѕол€рность:ќбратна€ [- +]√абариты: 236x128x220√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-bost-70b24ls-55r-480a-236x128x220.html
јккумул€тор BOST PREMIUM 55R (55566);4700руб.;4200руб.;≈мкость: 55 јчѕусковой ток: 500 јѕол€рность:ќбратна€ [- +]√абариты: 207x175x190√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-bost-premium-55566-50r-500a-207x175x190.html
јккумул€тор BOST 50R (50D20L);5200руб.;4900руб.;≈мкость: 50 јчѕусковой ток: 480 јѕол€рность:ќбратна€ [- +]√абариты: 200x170x220√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-bost-50d20l-50r-480a-200x172x220.html
јккумул€тор BOST 65R (75D23L);5300руб.;4800руб.;≈мкость: 65 јчѕусковой ток: 570 јѕол€рность:ќбратна€ [- +]√абариты: 232x173x225√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-bost-75d23l-65r-570a-231x172x220.html
јккумул€тор BOST PREMIUM 60R (56066);5400руб.;4900руб.;≈мкость: 60 јчѕусковой ток: 530 јѕол€рность:ќбратна€ [- +]√абариты: 207x175x190√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-bost-premium-56066-60r-530a-207x175x190.html
јккумул€тор BOST 60R (56077);5500руб.;5000руб.;≈мкость: 60 јчѕусковой ток: 570 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x175√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-bost-56077-60r-570a-242x175x175.html
јккумул€тор BOST PREMIUM 65R (56513);5600руб.;5100руб.;≈мкость: 65 јчѕусковой ток: 650 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x190√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-bost-premium-56513-65r-650a-242x175x190.html
јккумул€тор BOST 70L (90D23R);5700руб.;5200руб.;≈мкость: 70 јчѕусковой ток: 600 јѕол€рность:ѕр€ма€ [+ -]√абариты: 232x173x225√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-bost-90d23r-70l-600a-231x172x220.html
јккумул€тор BOST 70R (90D23L);5800руб.;5300руб.;≈мкость: 70 јчѕусковой ток: 600 јѕол€рность:ќбратна€ [- +]√абариты: 232x173x225√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-bost-90d23l-70r-600a-231x172x220.html
јккумул€тор BOST PREMIUM 63R (56377);5900руб.;5400руб.;≈мкость: 63 јчѕусковой ток: 640 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x175√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-bost-premium-56377-63r-640a-242x175x175.html
