Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
јккумул€тор INCI AKU Supr A 50R;4200руб.;3900руб.;≈мкость: 50 јчѕусковой ток: 450 јѕол€рность:ќбратна€ [- +]√абариты: 207x175x190√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-inci-aku-supr-a-50r-450a-207h175h190.html
јккумул€тор INCI AKU Supr A 60RS (низкий);4500руб.;4000руб.;≈мкость: 60 јчѕусковой ток: 540 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x175√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-inci-aku-supr-a-60r-540a-242x175x175.html
јккумул€тор INCI AKU Supr A 60R;4500руб.;4000руб.;≈мкость: 60 јчѕусковой ток: 540 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x190√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-inci-aku-supr-a-60r-540a-242x175x190.html
јккумул€тор INCI AKU Supr A 60L;4500руб.;4000руб.;≈мкость: 60 јчѕусковой ток: 540 јѕол€рность:ѕр€ма€ [+ -]√абариты: 242x175x190√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-inci-aku-supr-a-60l-540a-242x175x190.html
јккумул€тор INCI AKU Formul A 52R;4500руб.;4200руб.;≈мкость: 52 јчѕусковой ток: 460 јѕол€рность:ќбратна€ [- +]√абариты: 207x175x190√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-inci-aku-formul-a-52r-460a-207x175x190.html
јккумул€тор INCI AKU Formul A 60L;4800руб.;4300руб.;≈мкость: 60 јчѕусковой ток: 530 јѕол€рность:ѕр€ма€ [+ -]√абариты: 242x175x190√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-inci-aku-formul-a-60l-530a-242x175x190.html
јккумул€тор INCI AKU Formul A 60R;4900руб.;4400руб.;≈мкость: 60 јчѕусковой ток: 540 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x190√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-inci-aku-formul-a-60r-540a-242x175x190.html
јккумул€тор INCI AKU Maxim A 55R;4900руб.;4400руб.;≈мкость: 55 јчѕусковой ток: 500 јѕол€рность:ќбратна€ [- +]√абариты: 205x170x205√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-inci-aku-maxim-a-55r-500a-205x170x205.html
јккумул€тор INCI AKU Formul A 60R;4950руб.;4450руб.;≈мкость: 60 јчѕусковой ток: 540 јѕол€рность:ќбратна€ [- +]√абариты: 232x173x225√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-inci-aku-60r-540a-232x173x225.html
јккумул€тор INCI AKU Formul A 62RS (низкий);5200руб.;4700руб.;≈мкость: 62 јчѕусковой ток: 540 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x175√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-inci-aku-62r-540a-242x175x175.html
јккумул€тор INCI AKU Formul A 68R;5300руб.;4800руб.;≈мкость: 68 јчѕусковой ток: 600 јѕол€рность:ќбратна€ [- +]√абариты: 232x173x225√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-inci-aku-formul-a-68r-6000a-232x173x225.html
јккумул€тор INCI AKU Supr A 75L;5400руб.;4800руб.;≈мкость: 75 јчѕусковой ток: 700 јѕол€рность:ѕр€ма€ [+ -]√абариты: 278x175x190√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-inci-aku-supr-a-75l-700a-278x175x190.html
јккумул€тор INCI AKU Supr A 75RS;5400руб.;4800руб.;≈мкость: 75 јчѕусковой ток: 700 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x175√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-inci-aku-supr-a-75rs-700a-278x175x175.html
јккумул€тор INCI AKU Supr A 75R;5400руб.;4800руб.;≈мкость: 75 јчѕусковой ток: 700 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x190√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-inci-aku-supr-a-75r-700a-278x175x190.html
јккумул€тор INCI AKU Maxim A 65R;5600руб.;5100руб.;≈мкость: 65 јчѕусковой ток: 640 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x190√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-inci-aku-maxim-a-65r-640a-242x175x190.html
јккумул€тор INCI AKU Formul A 75L;5700руб.;5100руб.;≈мкость: 75 јчѕусковой ток: 700 јѕол€рность:ѕр€ма€ [+ -]√абариты: 278x175x190√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-inci-aku-formul-a-75l-700a-278x175x190.html
јккумул€тор INCI AKU Formul A 72L;5700руб.;5100руб.;≈мкость: 72 јчѕусковой ток: 600 јѕол€рность:ѕр€ма€ [+ -]√абариты: 264x175x220√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-inci-aku-formul-a-72l-600a-264x175x220.html
јккумул€тор INCI AKU Maxim A 68R;5700руб.;5200руб.;≈мкость: 68 јчѕусковой ток: 600 јѕол€рность:ќбратна€ [- +]√абариты: 232x173x225√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-inci-aku-maxim-a-68r-600a-232x173x225.html
јккумул€тор INCI AKU Formul A 75R;5800руб.;5200руб.;≈мкость: 75 јчѕусковой ток: 700 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x190√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-inci-aku-75r-700a-278x175x190.html
јккумул€тор INCI AKU Formul A 72RS (низкий);5800руб.;5200руб.;≈мкость: 72 јчѕусковой ток: 700 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x175√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-inci-aku-72r-700a-278x175x175.html
јккумул€тор INCI AKU Formul A 72R;5800руб.;5200руб.;≈мкость: 72 јчѕусковой ток: 600 јѕол€рность:ќбратна€ [- +]√абариты: 264x175x220√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-inci-aku-72r-600a-264x175x220.html
јккумул€тор INCI AKU Formul A 75R;5900руб.;5300руб.;≈мкость: 75 јчѕусковой ток: 600 јѕол€рность:ќбратна€ [- +]√абариты: 264x175x220√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-inci-aku-formul-a-75r-600a-264x175x220.html
јккумул€тор INCI AKU Formul A 82RS (низкий);6500руб.;5900руб.;≈мкость: 82 јчѕусковой ток: 740 јѕол€рность:ќбратна€ [- +]√абариты: 315x175x175√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-inci-aku-formul-a-82r-740a-315h175h175.html
јккумул€тор INCI AKU Maxim A 80R;6500руб.;5900руб.;≈мкость: 80 јчѕусковой ток: 650 јѕол€рность:ќбратна€ [- +]√абариты: 264x175x220√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-inci-aku-maxim-a-80r-650a-264x175x220.html
јккумул€тор INCI AKU Supr A 100R;7300руб.;6600руб.;≈мкость: 100 јчѕусковой ток: 860 јѕол€рность:ќбратна€ [- +]√абариты: 353x175x190√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-inci-aku-supr-a-100r-860a-353x175x190.html
јккумул€тор INCI AKU Supr A 100RS (низкий);7300руб.;6600руб.;≈мкость: 100 јчѕусковой ток: 860 јѕол€рность:ќбратна€ [- +]√абариты: 353x175x175√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-inci-aku-supr-a-100r-860a-353x175x175.html
јккумул€тор INCI AKU Formul A 100R;7500руб.;6800руб.;≈мкость: 100 јчѕусковой ток: 760 јѕол€рность:ќбратна€ [- +]√абариты: 306x175x224√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-inci-aku-100r-760a-306x175x224.html
јккумул€тор INCI AKU Formul A 100L;7500руб.;6800руб.;≈мкость: 100 јчѕусковой ток: 760 јѕол€рность:ѕр€ма€ [+ -]√абариты: 306x175x224√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-inci-aku-100l-760a-306x175x224.html
