Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
јккумул€тор THOMAS 60L;4300руб.;3800руб.;≈мкость: 60 јчѕусковой ток: 540 јѕол€рность:ѕр€ма€ [+ -]√абариты: 242x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-thomas-60l-540a-242x175x190.html
јккумул€тор THOMAS 60R;4300руб.;3800руб.;≈мкость: 60 јчѕусковой ток: 540 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-thomas-60r-540a-242x175x190.html
јккумул€тор THOMAS 60RS (низкий);4300руб.;3800руб.;≈мкость: 60 јчѕусковой ток: 540 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x175√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-thomas-60r-540a-242x175x175.html
јккумул€тор THOMAS ASIA  60R;4300руб.;3800руб.;≈мкость: 60 јчѕусковой ток: 510 јѕол€рность:ќбратна€ [- +]√абариты: 232x173x225√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-thomas-60r-510a-232x173x225.html
јккумул€тор THOMAS ASIA  60L;4300руб.;3800руб.;≈мкость: 60 јчѕусковой ток: 550 јѕол€рность:ѕр€ма€ [+ -]√абариты: 232x173x225√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-thomas-60l-510a-232x173x225.html
јккумул€тор THOMAS 72RS;5200руб.;4600руб.;≈мкость: 72 јчѕусковой ток: 680 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x175√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-thomas-72r-680a-278x175x175.html
јккумул€тор THOMAS 74R;5200руб.;4600руб.;≈мкость: 74 јчѕусковой ток: 680 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-thomas-74r-680a-278x175x190.html
јккумул€тор THOMAS 80RS;5900руб.;5300руб.;≈мкость: 80 јчѕусковой ток: 740 јѕол€рность:ќбратна€ [- +]√абариты: 315x175x175√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-thomas-80rs-740a-315x175x175.html
јккумул€тор THOMAS 100R;6700руб.;6000руб.;≈мкость: 100 јчѕусковой ток: 830 јѕол€рность:ќбратна€ [- +]√абариты: 353x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-thomas-100r-830a-353x175x190.html
јккумул€тор THOMAS 225 euro;13900руб.;12200руб.;≈мкость: 225 јчѕусковой ток: 1150 јѕол€рность:ќбратна€ [+ -]√абариты: 518x276x242√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-thomas-225-euro-1150a-518x276x242.html
