Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
јккумул€тор UNICORN BLACK 60L;2400руб.;1900руб.;≈мкость: 60 јчѕусковой ток: 500 јѕол€рность:ѕр€ма€ [+ -]√абариты: 242x175x190√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-unicorn-black-60l-500a-242x175x190.html
јккумул€тор UNICORN BLACK 60R;2400руб.;1900руб.;≈мкость: 60 јчѕусковой ток: 500 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x190√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-unicorn-black-60r-500a-242x175x190.html
јккумул€тор UNICORN GREY 60L;2900руб.;2400руб.;≈мкость: 60 јчѕусковой ток: 550 јѕол€рность:ѕр€ма€ [+ -]√абариты: 242x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-unicorn-grey-60l-500a-242x175x190.html
јккумул€тор UNICORN GREY 60R;2900руб.;2400руб.;≈мкость: 60 јчѕусковой ток: 550 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-unicorn-grey-60r-500a-242x175x190.html
јккумул€тор UNICORN BLACK 75R;3400руб.;2800руб.;≈мкость: 75 јчѕусковой ток: 600 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x190√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-unicorn-black-75r-600a-278x175x190.html
јккумул€тор UNICORN BLACK 75L;3400руб.;2800руб.;≈мкость: 75 јчѕусковой ток: 600 јѕол€рность:ѕр€ма€ [+ -]√абариты: 278x175x190√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-unicorn-black-75l-600a-278x175x190.html
јккумул€тор UNICORN RED 60R;4100руб.;3600руб.;≈мкость: 60 јчѕусковой ток: 580 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x190√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-unicorn-red-60r-580a-242x175x190.html
јккумул€тор UNICORN RED 60L;4100руб.;3600руб.;≈мкость: 60 јчѕусковой ток: 580 јѕол€рность:ѕр€ма€ [+ -]√абариты: 242x175x190√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-unicorn-red-60l-580a-242x175x190.html
јккумул€тор UNICORN GREY 75R;4100руб.;3500руб.;≈мкость: 75 јчѕусковой ток: 650 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-unicorn-grey-75r-600a-278x175x190.html
јккумул€тор UNICORN GREY 75L;4100руб.;3500руб.;≈мкость: 75 јчѕусковой ток: 650 јѕол€рность:ѕр€ма€ [+ -]√абариты: 278x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-unicorn-grey-75l-600a-278x175x190.html
јккумул€тор UNICORN RED 62L;4300руб.;3800руб.;≈мкость: 62 јчѕусковой ток: 610 јѕол€рность:ѕр€ма€ [+ -]√абариты: 242x175x190√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-unicorn-red-62l-610a-242x175x190.html
јккумул€тор UNICORN RED 62R;4300руб.;3800руб.;≈мкость: 62 јчѕусковой ток: 610 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x190√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-unicorn-red-62r-610a-242x175x190.html
јккумул€тор UNICORN GOLD 60R;4600руб.;4100руб.;≈мкость: 60 јчѕусковой ток: 630 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x190√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-unicorn-gold-60r-630a-242x175x190.html
јккумул€тор UNICORN GOLD 66R;4900руб.;4400руб.;≈мкость: 66 јчѕусковой ток: 760 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x190√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-unicorn-gold-66r-760a-242x175x190.html
јккумул€тор UNICORN RED 75R;5200руб.;4600руб.;≈мкость: 75 јчѕусковой ток: 710 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x190√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-unicorn-red-75r-700a-278x175x190.html
јккумул€тор UNICORN RED 75L;5200руб.;4600руб.;≈мкость: 75 јчѕусковой ток: 710 јѕол€рность:ѕр€ма€ [+ -]√абариты: 278x175x190√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-unicorn-red-75l-700a-278x175x190.html
јккумул€тор UNICORN GOLD 77R;6000руб.;5400руб.;≈мкость: 77 јчѕусковой ток: 850 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x190√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-unicorn-gold-77r-850a-278x175x190.html
јккумул€тор UNICORN BLACK 132 euro;6300руб.;5300руб.;≈мкость: 132 јчѕусковой ток: 850 јѕол€рность:ќбратна€ [+ -]√абариты: 513x182x240√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-unicorn-black-132-euro-850a-513x182x240.html
