Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
јккумул€тор AlphaLINE 50R (50D20L);4950руб.;4650руб.;≈мкость: 50 јчѕусковой ток: 450 јѕол€рность:ќбратна€ [- +]√абариты: 200x170x220√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-alphaline-50d20l-50r-450a-200x170x220.html
јккумул€тор AlphaLINE 58R (26R-550);6000руб.;5500руб.;≈мкость: 58 јчѕусковой ток: 550 јѕол€рность:ќбратна€ [- +]√абариты: 206x172x184√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-alphaline-26r-550-58r-550a-206x172x184.html
јккумул€тор AlphaLINE 58L (26-550);6000руб.;5500руб.;≈мкость: 58 јчѕусковой ток: 550 јѕол€рность:ѕр€ма€ [+ -]√абариты: 206x172x184√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-alphaline-26-550-58l-550a-206x172x184.html
јккумул€тор AlphaLINE STANDARD 65R (75D23L);6250руб.;5750руб.;≈мкость: 65 јчѕусковой ток: 580 јѕол€рность:ќбратна€ [- +]√абариты: 230x168x220√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-alphaline-standard-75d23l-65r-580a-230x168x220.html
јккумул€тор AlphaLINE STANDARD 70R (80D26L);6500руб.;6000руб.;≈мкость: 70 јчѕусковой ток: 600 јѕол€рность:ќбратна€ [- +]√абариты: 260x168x220√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-alphaline-standard-80d26l-70r-600a-260x168x220.html
јккумул€тор AlphaLINE STANDARD 70L (80D26R);6500руб.;6000руб.;≈мкость: 70 јчѕусковой ток: 600 јѕол€рность:ѕр€ма€ [+ -]√абариты: 260x168x220√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-alphaline-standard-80d26r-70l-600a-260x168x220.html
јккумул€тор AlphaLINE 80R (95D26L);7000руб.;6400руб.;≈мкость: 80 јчѕусковой ток: 700 јѕол€рность:ќбратна€ [- +]√абариты: 260x168x220√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-alphaline-95d26l-80r-700a-260x168x220.html
јккумул€тор AlphaLINE 80L (95D26R);7000руб.;6400руб.;≈мкость: 80 јчѕусковой ток: 700 јѕол€рность:ѕр€ма€ [+ -]√абариты: 260x168x220√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-alphaline-95d26r-80l-700a-260x168x220.html
јккумул€тор AlphaLINE 100R (115D31L);8800руб.;8100руб.;≈мкость: 100 јчѕусковой ток: 850 јѕол€рность:ќбратна€ [- +]√абариты: 301x175x220√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-alphaline-115d31l-100r-850a-301x175x220.html
јккумул€тор AlphaLINE 100L (115D31R);8800руб.;8100руб.;≈мкость: 100 јчѕусковой ток: 850 јѕол€рность:ѕр€ма€ [+ -]√абариты: 301x175x220√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-alphaline-115d31r-100l-850a-301x175x220.html
јккумул€тор AlphaLINE EFB Start-Stop 65R;9000руб.;8500руб.;≈мкость: 65 јчѕусковой ток: 650 јѕол€рность:ќбратна€ [- +]√абариты: 276x175x175√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-alphaline-efb-start-stop-65r-650a-278x175x175.html
јккумул€тор AlphaLINE EFB 68R (100D26L);9600руб.;9100руб.;≈мкость: 68 јчѕусковой ток: 730 јѕол€рность:ќбратна€ [- +]√абариты: 260x173x225√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-alphaline-efb-100d26l-68r-730a-260x173x225.html
јккумул€тор AlphaLINE AGM 60R;9950руб.;9450руб.;≈мкость: 60 јчѕусковой ток: 680 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x190√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-alphaline-agm-60r-950a-242x175x190.html
јккумул€тор AlphaLINE AGM 70R;11800руб.;11300руб.;≈мкость: 70 јчѕусковой ток: 760 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x190√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-alphaline-agm-70r-760a-278x175x190.html
јккумул€тор AlphaLINE AGM 105R;17650руб.;16950руб.;≈мкость: 105 јчѕусковой ток: 950 јѕол€рность:ќбратна€ [- +]√абариты: 393x175x190√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-alphaline-agm-105r-950a-398x175x190.html
