Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
јккумул€тор BOSCH S3 005 (56R);4350руб.;3850руб.;≈мкость: 56 јчѕусковой ток: 480 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-bosch-s3-005-56r-480a-242x175x190.html
јккумул€тор BOSCH S4 006 (60L);4850руб.;4350руб.;≈мкость: 60 јчѕусковой ток: 540 јѕол€рность:ѕр€ма€ [+ -]√абариты: 242x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-bosch-s4-006-60l-540a-242x175x190.html
јккумул€тор BOSCH S4 004 (60R);4900руб.;4400руб.;≈мкость: 60 јчѕусковой ток: 540 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x175√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-bosch-s4-004-60r-540a-242x175x175.html
јккумул€тор BOSCH S5 001 (52R);5150руб.;4850руб.;≈мкость: 52 јчѕусковой ток: 520 јѕол€рность:ќбратна€ [- +]√абариты: 207x175x175√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-bosch-s5-001-52r-520a-207x175x175.html
јккумул€тор BOSCH S5 002 (54R);5350руб.;5050руб.;≈мкость: 54 јчѕусковой ток: 530 јѕол€рность:ќбратна€ [- +]√абариты: 207x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-bosch-s5-002-54r-530a-207x175x190.html
јккумул€тор BOSCH S4 026 (70R);5750руб.;5250руб.;≈мкость: 70 јчѕусковой ток: 630 јѕол€рность:ќбратна€ [- +]√абариты: 261x175x220√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-bosch-s4-026-70r-630a-261x175x220.html
јккумул€тор BOSCH S3 007 (70R);5800руб.;5300руб.;≈мкость: 70 јчѕусковой ток: 640 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x175√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-bosch-s3-007-70r-640a-278x175x175.html
јккумул€тор BOSCH S4 007 (72R);6000руб.;5400руб.;≈мкость: 72 јчѕусковой ток: 680 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x175√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-bosch-s4-007-72r-680a-278x175x175.html
јккумул€тор BOSCH S4 009 (74L);6000руб.;5400руб.;≈мкость: 74 јчѕусковой ток: 680 јѕол€рность:ѕр€ма€ [+ -]√абариты: 278x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-bosch-s4-009-74l-680a-278x175x190.html
јккумул€тор BOSCH S4 74R (008);6000руб.;5400руб.;≈мкость: 74 јчѕусковой ток: 680 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-bosch-s4-008-74r-680a-278x175x190.html
јккумул€тор BOSCH S3 008 (70R);6150руб.;5650руб.;≈мкость: 70 јчѕусковой ток: 640 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-bosch-s3-008-70r-640a-278x175x190.html
јккумул€тор BOSCH S5 004 (61R);6700руб.;6200руб.;≈мкость: 61 јчѕусковой ток: 600 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x175√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-bosch-s5-004-61r-600a-242x175x175.html
јккумул€тор BOSCH S4 010 (80R);7350руб.;6750руб.;≈мкость: 80 јчѕусковой ток: 740 јѕол€рность:ќбратна€ [- +]√абариты: 315x175x175√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-bosch-s4-010-80r-740a-315x175x175.html
јккумул€тор BOSCH S5 007 (74R);7900руб.;7300руб.;≈мкость: 74 јчѕусковой ток: 750 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x175√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-bosch-s5-007-74r-750a-278x175x175.html
јккумул€тор BOSCH S5 010 (85R);7950руб.;7350руб.;≈мкость: 85 јчѕусковой ток: 800 јѕол€рность:ќбратна€ [- +]√абариты: 315x175x175√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-bosch-s5-010-85r-800a-315x175x175.html
јккумул€тор BOSCH S5 013 (100R);9350руб.;8650руб.;≈мкость: 100 јчѕусковой ток: 830 јѕол€рность:ќбратна€ [- +]√абариты: 353x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-bosch-s5-013-100r-830a-353x175x190.html
