Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
јккумул€тор DELKOR 55R (70B24LS);5600руб.;5100руб.;≈мкость: 55 јчѕусковой ток: 480 јѕол€рность:ќбратна€ [- +]√абариты: 238x129x227√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-delkor-70b24ls-55r-480a-238x129x227.html
јккумул€тор DELKOR 61R (56177) низкий;5650руб.;5150руб.;≈мкость: 61 јчѕусковой ток: 600 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x175√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-delkor-56177-61r-600a-242x175x175.html
јккумул€тор DELKOR 60L (56031);6100руб.;5600руб.;≈мкость: 60 јчѕусковой ток: 525 јѕол€рность:ѕр€ма€ [+ -]√абариты: 241x174x188√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-delkor-56031-60l-525a-241x174x188.html
јккумул€тор DELKOR 60R (56030);6100руб.;5600руб.;≈мкость: 60 јчѕусковой ток: 525 јѕол€рность:ќбратна€ [- +]√абариты: 241x174x188√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-delkor-56030-60r-525a-241x174x188.html
јккумул€тор DELKOR 60R (26R-550);6150руб.;5650руб.;≈мкость: 60 јчѕусковой ток: 550 јѕол€рность:ќбратна€ [- +]√абариты: 206x172x205√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-delkor-26r-550-60r-550a-206h172h205.html
јккумул€тор DELKOR 62R (56219);6450руб.;5950руб.;≈мкость: 62 јчѕусковой ток: 580 јѕол€рность:ќбратна€ [- +]√абариты: 241x174x188√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-delkor-56219-62r-580a-241x174x188.html
јккумул€тор DELKOR 74R (57412);6450руб.;5850руб.;≈мкость: 74 јчѕусковой ток: 680 јѕол€рность:ќбратна€ [- +]√абариты: 277x174x188√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-delkor-57412-74r-680a-277x174x188.html
јккумул€тор DELKOR 65R (75D23L);6450руб.;5950руб.;≈мкость: 65 јчѕусковой ток: 570 јѕол€рность:ќбратна€ [- +]√абариты: 232x173x225√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-delkor-75d23l-65r-570a-232x173x225.html
јккумул€тор DELKOR 65R (56513);6600руб.;6100руб.;≈мкость: 65 јчѕусковой ток: 640 јѕол€рность:ќбратна€ [- +]√абариты: 241x174x188√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-delkor-56513-65r-640a-241x174x188.html
јккумул€тор DELKOR 75R (80D26L);7100руб.;6500руб.;≈мкость: 75 јчѕусковой ток: 600 јѕол€рность:ќбратна€ [- +]√абариты: 260x173x225√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-delkor-80d26l-75r-600a-260x173x225.html
јккумул€тор DELKOR 80R (90D26L);7550руб.;6950руб.;≈мкость: 80 јчѕусковой ток: 680 јѕол€рность:ќбратна€ [- +]√абариты: 260x173x225√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-delkor-90d26l-80r-680a-260x173x225.html
јккумул€тор DELKOR 80L (90D26R);7550руб.;6950руб.;≈мкость: 80 јчѕусковой ток: 680 јѕол€рность:ѕр€ма€ [+ -]√абариты: 260x173x225√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-delkor-90d26r-80l-680a-260x173x225.html
јккумул€тор DELKOR 75R (57539);7950руб.;7350руб.;≈мкость: 75 јчѕусковой ток: 650 јѕол€рность:ќбратна€ [- +]√абариты: 279x175x175√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-delkor-57539-75r-650a-279x175x175.html
јккумул€тор DELKOR 100R (115D31L);9450руб.;8750руб.;≈мкость: 100 јчѕусковой ток: 800 јѕол€рность:ќбратна€ [- +]√абариты: 306x173x225√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-delkor-115d31l-100r-800a-306x173x225.html
