Название;Цена;При обмене;Характеристика;Ссылка
Аккумулятор DELTA CT 1204;1100руб.;1075руб.;Емкость: 4 АчПусковой ток: 50 АПолярность:Обратная [- +]Габариты: 113x70x89Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-ct-1204.html
Аккумулятор DELTA CT 12026;1100руб.;1075руб.;Емкость: 3 АчПусковой ток: 45 АПолярность:Обратная [- +]Габариты: 114x49x86Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-ct-12026.html
Аккумулятор DELTA CT 12025;1100руб.;1075руб.;Емкость: 3 АчПусковой ток: 40 АПолярность:Обратная [- +]Габариты: 114x39x87Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-ct-12025.html
Аккумулятор DELTA CT 1205;1300руб.;1275руб.;Емкость: 5 АчПусковой ток: 80 АПолярность:Обратная [- +]Габариты: 114x69x109Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-ct-1205.html
Аккумулятор DELTA CT 1205.1;1400руб.;1375руб.;Емкость: 5 АчПусковой ток: 65 АПолярность:Обратная [- +]Габариты: 120x61x129Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-ct-1205.1.html
Аккумулятор DELTA CT 1207;1750руб.;1700руб.;Емкость: 7 АчПусковой ток: 105 АПолярность:Прямая [+ -]Габариты: 152x87x95Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-ct-1207.html
Аккумулятор DELTA CT 1207.2;1850руб.;1800руб.;Емкость: 7 АчПусковой ток: 130 АПолярность:Обратная [- +]Габариты: 114x69x109Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-ct-1207.2.html
Аккумулятор DELTA CT 1208;1950руб.;1900руб.;Емкость: 8 АчПусковой ток: 130 АПолярность:Прямая [+ -]Габариты: 150x66x95Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-ct-1208.html
Аккумулятор DELTA CT 1209;2100руб.;2050руб.;Емкость: 9 АчПусковой ток: 135 АПолярность:Прямая [+ -]Габариты: 150x86x107Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-ct-1209.html
Аккумулятор DELTA CT 1209.1;2300руб.;2250руб.;Емкость: 9 АчПусковой ток: 115 АПолярность:Прямая [+ -]Габариты: 151x71x107Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-ct-1209.1.html
Аккумулятор DELTA CT 1210;2350руб.;2300руб.;Емкость: 10 АчПусковой ток: 100 АПолярность:Прямая [+ -]Габариты: 137x77x135Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-ct-1210.html
Аккумулятор DELTA CT 1212;2800руб.;2750руб.;Емкость: 12 АчПусковой ток: 180 АПолярность:Прямая [+ -]Габариты: 150x87x132Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-ct-1212.html
Аккумулятор DELTA CT 1212.2;3100руб.;3050руб.;Емкость: 14 АчПусковой ток: 155 АПолярность:Прямая [+ -]Габариты: 152x70x150Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-ct-1212.2.html
Аккумулятор DELTA CT 1216;3600руб.;3550руб.;Емкость: 16 АчПусковой ток: 200 АПолярность:Обратная [- +]Габариты: 207x72x164Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-ct-1216.html
Аккумулятор DELTA CT 1214;3650руб.;3600руб.;Емкость: 14 АчПусковой ток: 200 АПолярность:Прямая [+ -]Габариты: 150x87x148Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-ct-1214.html
Аккумулятор DELTA CT 1216.1;3900руб.;3850руб.;Емкость: 16 АчПусковой ток: 230 АПолярность:Прямая [+ -]Габариты: 151x88x164Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-ct-1216.1.html
Аккумулятор DELTA CT 1214.1;4150руб.;4100руб.;Емкость: 14 АчПусковой ток: 165 АПолярность:Прямая [+ -]Габариты: 132x89x164Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-ct-1214.1.html
Аккумулятор DELTA CT 1220.1;4700руб.;4600руб.;Емкость: 20 АчПусковой ток: 260 АПолярность:Обратная [- +]Габариты: 181x77x167Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-ct-1220.1.html
Аккумулятор DELTA CT 1220;4900руб.;4800руб.;Емкость: 20 АчПусковой ток: 250 АПолярность:Обратная [- +]Габариты: 205x92x164Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-ct-1220.html
Аккумулятор DELTA CT 12201;4950руб.;4850руб.;Емкость: 20 АчПусковой ток: 270 АПолярность:Обратная [- +]Габариты: 177x87x154Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-ct-12201.html
Аккумулятор DELTA CT 1218;4970руб.;4920руб.;Емкость: 18 АчПусковой ток: 270 АПолярность:Прямая [+ -]Габариты: 177x88x154Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-ct-1218.html
Аккумулятор DELTA EPS 1218.1;5550руб.;5450руб.;Емкость: 20 АчПусковой ток: 270 АПолярность:Прямая [+ -]Габариты: 151x87x161Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-eps-1218.1.html
Аккумулятор DELTA EPS 12201;5750руб.;5700руб.;Емкость: 18 АчПусковой ток: 310 АПолярность:Обратная [- +]Габариты: 176x87x154Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-eps-12201.html
Аккумулятор DELTA EPS 1220;6300руб.;6200руб.;Емкость: 20 АчПусковой ток: 350 АПолярность:Обратная [- +]Габариты: 205x92x164Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-delta-eps-1220.html
