Название;Цена;При обмене;Характеристика;Ссылка
Аккумулятор EXIDE ET4B-BS;1500руб.;1475руб.;Емкость: 3 АчПусковой ток: 35 АПолярность:Обратная [- +]Габариты: 113x38x85Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-et4b-bs.html
Аккумулятор EXIDE ETX5L-BS;1900руб.;1875руб.;Емкость: 4 АчПусковой ток: 70 АПолярность:Обратная [- +]Габариты: 113x70x105Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-etx5l-bs.html
Аккумулятор EXIDE ETZ7-BS;2500руб.;2475руб.;Емкость: 6 АчПусковой ток: 100 АПолярность:Обратная [- +]Габариты: 113x70x105Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-etz7-bs.html
Аккумулятор EXIDE ETX9-BS;2800руб.;2750руб.;Емкость: 8 АчПусковой ток: 120 АПолярность:Прямая [+ -]Габариты: 150x87x105Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-etx9-bs.html
Аккумулятор EXIDE ETX12-BS;2950руб.;2900руб.;Емкость: 10 АчПусковой ток: 150 АПолярность:Прямая [+ -]Габариты: 150x87x130Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-etx12-bs.html
Аккумулятор EXIDE ET12B-BS;3100руб.;3050руб.;Емкость: 10 АчПусковой ток: 160 АПолярность:Прямая [+ -]Габариты: 150x71x130Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-et12b-bs.html
Аккумулятор EXIDE ETZ14-BS;3200руб.;3150руб.;Емкость: 12 АчПусковой ток: 205 АПолярность:Прямая [+ -]Габариты: 150x87x110Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-etz14-bs.html
Аккумулятор EXIDE ETX14AH-BS;4800руб.;4750руб.;Емкость: 12 АчПусковой ток: 210 АПолярность:Прямая [+ -]Габариты: 134x89x164Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-etx14ah-bs.html
Аккумулятор EXIDE AGM 12-12;3500руб.;3450руб.;Емкость: 12 АчПусковой ток: 200 АПолярность:Прямая [+ -]Габариты: 150x88x145Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-agm-12-12.html
Аккумулятор EXIDE AGM 12-18;5300руб.;5250руб.;Емкость: 18 АчПусковой ток: 250 АПолярность:Обратная [- +]Габариты: 181x77x167Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-agm-12-18.html
Аккумулятор EXIDE EB5L-B;1800руб.;1775руб.;Емкость: 5 АчПусковой ток: 65 АПолярность:Обратная [- +]Габариты: 120x60x130Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-eb5l-b.html
Аккумулятор EXIDE EB9-B;2500руб.;2450руб.;Емкость: 9 АчПусковой ток: 100 АПолярность:Прямая [+ -]Габариты: 135x75x139Гарантия: 12 месяцев;https://akbmag.ru//catalog/akkumulator-exide-eb9-b.html
