Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
јккумул€тор MUTLU Mega Calcium 60L;4550руб.;4050руб.;≈мкость: 60 јчѕусковой ток: 540 јѕол€рность:ѕр€ма€ [+ -]√абариты: 246x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-mutlu-mega-calcium-60l-520a-246x175x190.html
јккумул€тор MUTLU Mega Calcium 60R;4550руб.;4050руб.;≈мкость: 60 јчѕусковой ток: 540 јѕол€рность:ќбратна€ [- +]√абариты: 246x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-mutlu-mega-calcium-60r-520a-246x175x190.html
јккумул€тор MUTLU Mega Calcium 60R (низкий);4550руб.;4050руб.;≈мкость: 60 јчѕусковой ток: 540 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x175√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-mutlu-mega-calcium-60rs-540a-242x175x175.html
јккумул€тор MUTLU Mega Calcium 63L;5350руб.;4850руб.;≈мкость: 63 јчѕусковой ток: 600 јѕол€рность:ѕр€ма€ [+ -]√абариты: 242x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-mutlu-mega-calcium-63l-600a-242x175x190.html
јккумул€тор MUTLU Mega Calcium 63R;5450руб.;4950руб.;≈мкость: 63 јчѕусковой ток: 600 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-mutlu-mega-calcium-63r-600a-242x175x190.html
јккумул€тор MUTLU Mega Calcium 75L;5800руб.;5200руб.;≈мкость: 75 јчѕусковой ток: 720 јѕол€рность:ѕр€ма€ [+ -]√абариты: 278x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-mutlu-mega-calcium-75l-720a-278x175x190.html
јккумул€тор MUTLU Mega Calcium 75R;5800руб.;5200руб.;≈мкость: 75 јчѕусковой ток: 720 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-mutlu-mega-calcium-75r-720a-278x175x190.html
јккумул€тор MUTLU Mega Calcium 105D31L;6850руб.;6150руб.;≈мкость: 90 јчѕусковой ток: 720 јѕол€рность:ќбратна€ [- +]√абариты: 301x175x220√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-mutlu-mega-calcium-105d31l-90r-720a-301x175x220.html
јккумул€тор MUTLU Mega Calcium 100R;6900руб.;6200руб.;≈мкость: 100 јчѕусковой ток: 830 јѕол€рность:ќбратна€ [- +]√абариты: 353x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-mutlu-mega-calcium-100r-830a-353x175x190.html
јккумул€тор MUTLU Mega Calcium 100L;6900руб.;6200руб.;≈мкость: 100 јчѕусковой ток: 830 јѕол€рность:ѕр€ма€ [+ -]√абариты: 353x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-mutlu-mega-calcium-100l-830a-353x175x190.html
јккумул€тор MUTLU Mega Calcium 110R;8200руб.;7500руб.;≈мкость: 110 јчѕусковой ток: 920 јѕол€рность:ќбратна€ [- +]√абариты: 393x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-mutlu-mega-calcium-110r-920a-393x175x190.html
јккумул€тор MUTLU Mega Calcium 190R;15900руб.;14500руб.;≈мкость: 190 јчѕусковой ток: 1250 јѕол€рность:ќбратна€ [+ -]√абариты: 513x223x223√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-mutlu-mega-calcium-190euro-1250a-513x223x223.html
јккумул€тор MUTLU Mega Calcium 225 Euro;16650руб.;14950руб.;≈мкость: 225 јчѕусковой ток: 1400 јѕол€рность:ќбратна€ [+ -]√абариты: 517x273x240√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-mutlu-mega-calcium-225-euro-1400a-517h273h240.html
