Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
јккумул€тор TAB POLAR 60R;5250руб.;4750руб.;≈мкость: 60 јчѕусковой ток: 600 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x190√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-tab-polar-60r-600a-242x175x190.html
јккумул€тор TAB POLAR 60R uni;5250руб.;4750руб.;≈мкость: 60 јчѕусковой ток: 560 јѕол€рность:ќбратна€ [- +]√абариты: 207x175x190√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-tab-polar-60r-uni-560a-207h175h190.html
јккумул€тор TAB POLAR S 60R;5400руб.;4900руб.;≈мкость: 60 јчѕусковой ток: 600 јѕол€рность:ќбратна€ [- +]√абариты: 230x168x220√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-tab-polar-s-60r-600a-230x168x220.html
јккумул€тор TAB MAGIC 62R (низкий);5450руб.;4950руб.;≈мкость: 62 јчѕусковой ток: 600 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x175√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-tab-magic-62r-600a-242x175x175.html
јккумул€тор TAB POLAR 60L;5550руб.;5050руб.;≈мкость: 60 јчѕусковой ток: 600 јѕол€рность:ѕр€ма€ [+ -]√абариты: 242x175x190√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-tab-polar-60l-600a-242x175x190.html
јккумул€тор TAB POLAR S 65R;5750руб.;5250руб.;≈мкость: 65 јчѕусковой ток: 650 јѕол€рность:ќбратна€ [- +]√абариты: 230x168x220√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-tab-polar-s-65r-650a-230x168x220.html
јккумул€тор TAB POLAR 66L;6000руб.;5500руб.;≈мкость: 66 јчѕусковой ток: 620 јѕол€рность:ѕр€ма€ [+ -]√абариты: 242x175x190√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-tab-polar-66l-620a-242x175x190.html
јккумул€тор TAB POLAR S 70R;6350руб.;5850руб.;≈мкость: 70 јчѕусковой ток: 700 јѕол€рность:ќбратна€ [- +]√абариты: 260x175x220√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-tab-polar-s-70r-700a-260x175x220.html
јккумул€тор TAB POLAR 75R;6850руб.;6250руб.;≈мкость: 75 јчѕусковой ток: 750 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x190√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-tab-polar-75r-750a-278x175x190.html
јккумул€тор TAB MAGIC 75R (низкий);7150руб.;6550руб.;≈мкость: 75 јчѕусковой ток: 700 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x175√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-tab-magic-75r-600a-278x175x175.html
јккумул€тор TAB MAGIC 85R (низкий);8400руб.;7800руб.;≈мкость: 85 јчѕусковой ток: 800 јѕол€рность:ќбратна€ [- +]√абариты: 315x175x175√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-tab-magic-85r-800a-315x175x175.html
јккумул€тор TAB EFB 70R;9400руб.;8900руб.;≈мкость: 70 јчѕусковой ток: 680 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-tab-efb-70r-680a-278x175x190.html
јккумул€тор TAB POLAR 100R;9700руб.;9000руб.;≈мкость: 100 јчѕусковой ток: 900 јѕол€рность:ќбратна€ [- +]√абариты: 353x175x190√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-tab-polar-100r-920a-353x175x190.html
јккумул€тор TAB MAGIC 100R;9900руб.;9200руб.;≈мкость: 100 јчѕусковой ток: 900 јѕол€рность:ќбратна€ [- +]√абариты: 353x175x190√аранти€: 48 мес€цев;https://akbmag.ru//catalog/akkumulator-tab-magic-100r-900a-353x175x190.html
јккумул€тор TAB AGM 60R;9900руб.;9400руб.;≈мкость: 60 јчѕусковой ток: 680 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-tab-agm-60r-680a-242x175x190.html
јккумул€тор TAB EFB 80R;10700руб.;10100руб.;≈мкость: 80 јчѕусковой ток: 760 јѕол€рность:ќбратна€ [- +]√абариты: 315x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-tab-efb-80r-760a-315x175x190.html
јккумул€тор TAB AGM 80R;12400руб.;11800руб.;≈мкость: 80 јчѕусковой ток: 800 јѕол€рность:ќбратна€ [- +]√абариты: 315x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-tab-agm-80r-800a-315x175x190.html
јккумул€тор TAB AGM 105R;17500руб.;16800руб.;≈мкость: 105 јчѕусковой ток: 950 јѕол€рность:ќбратна€ [- +]√абариты: 394x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-tab-agm-105r-950a-394x175x190.html
