Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
јккумул€тор VARTA Blue D47 (60R);4600руб.;4100руб.;≈мкость: 60 јчѕусковой ток: 540 јѕол€рность:ќбратна€ [- +]√абариты: 232x173x225√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-varta-blue-d47-60r-540a-232x173x225.html
јккумул€тор VARTA Blue D24 (60R);4650руб.;4150руб.;≈мкость: 60 јчѕусковой ток: 540 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-varta-blue-d24-60r-540a-242x175x190.html
јккумул€тор VARTA Blue D59 (60R);4650руб.;4150руб.;≈мкость: 60 јчѕусковой ток: 540 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x175√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-varta-blue-d59-60r-540a-242x175x175.html
јккумул€тор VARTA Blue C22 (52R);4800руб.;4500руб.;≈мкость: 52 јчѕусковой ток: 470 јѕол€рность:ќбратна€ [- +]√абариты: 207x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-varta-blue-c22-52r-470a-207x175x190.html
јккумул€тор VARTA Blue D43 (60L);4950руб.;4450руб.;≈мкость: 60 јчѕусковой ток: 540 јѕол€рность:ѕр€ма€ [+ -]√абариты: 242x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-varta-blue-d43-60l-540a-242x175x190.html
јккумул€тор VARTA Silver C30 (54R);5100руб.;4800руб.;≈мкость: 54 јчѕусковой ток: 530 јѕол€рность:ќбратна€ [- +]√абариты: 207x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-varta-silver-c30-54r-530a-207x175x190.html
јккумул€тор VARTA Black E9 (70R);5650руб.;5150руб.;≈мкость: 70 јчѕусковой ток: 640 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x175√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-varta-black-e9-70r-640a-278x175x175.html
јккумул€тор VARTA Blue E12 (74L);5750руб.;5150руб.;≈мкость: 74 јчѕусковой ток: 680 јѕол€рность:ѕр€ма€ [+ -]√абариты: 278x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-varta-blue-e12-74l-680a-278x175x190.html
јккумул€тор VARTA Blue E23 (70R);5850руб.;5350руб.;≈мкость: 70 јчѕусковой ток: 630 јѕол€рность:ќбратна€ [- +]√абариты: 261x175x220√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-varta-blue-e23-70r-630a-261x175x220.html
јккумул€тор VARTA Silver D39 (63L);5900руб.;5400руб.;≈мкость: 63 јчѕусковой ток: 610 јѕол€рность:ѕр€ма€ [+ -]√абариты: 242x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-varta-silver-d39-63l-610a-242x175x190.html
јккумул€тор VARTA Silver D15 (63R);6000руб.;5500руб.;≈мкость: 63 јчѕусковой ток: 610 јѕол€рность:ќбратна€ [- +]√абариты: 242x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-varta-silver-d15-63r-610a-242x175x190.html
јккумул€тор VARTA Blue E11 (74R);6050руб.;5450руб.;≈мкость: 74 јчѕусковой ток: 680 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-varta-blue-e11-74r-680a-278x175x190.html
јккумул€тор VARTA Blue E43 (72R);6050руб.;5450руб.;≈мкость: 72 јчѕусковой ток: 680 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x175√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-varta-blue-e43-72r-680a-278x175x175.html
јккумул€тор VARTA Black E13 (70R);6600руб.;6100руб.;≈мкость: 70 јчѕусковой ток: 640 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-varta-black-e13-70r-640a-278x175x190.html
јккумул€тор VARTA Silver E44 (77R);7400руб.;6800руб.;≈мкость: 77 јчѕусковой ток: 780 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-varta-silver-e44-77r-780a-278x175x190.html
јккумул€тор VARTA Blue F17 (80R);7700руб.;7100руб.;≈мкость: 80 јчѕусковой ток: 740 јѕол€рность:ќбратна€ [- +]√абариты: 315x175x175√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-varta-blue-f17-80r-740a-315x175x175.html
јккумул€тор VARTA Silver E38 (74R);7800руб.;7200руб.;≈мкость: 74 јчѕусковой ток: 750 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x175√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-varta-silver-e38-74r-750a-278x175x175.html
јккумул€тор VARTA Blue G8 (95L);8000руб.;7300руб.;≈мкость: 95 јчѕусковой ток: 830 јѕол€рность:ѕр€ма€ [+ -]√абариты: 306x173x225√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-varta-blue-g8-95l-830a-306x173x225.html
јккумул€тор VARTA Blue G7 (95R);8000руб.;7300руб.;≈мкость: 95 јчѕусковой ток: 830 јѕол€рность:ќбратна€ [- +]√абариты: 306x173x225√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-varta-blue-g7-95r-830a-306x173x225.html
јккумул€тор VARTA Blue G3 (95R);8450руб.;7750руб.;≈мкость: 95 јчѕусковой ток: 800 јѕол€рность:ќбратна€ [- +]√абариты: 353x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-varta-blue-g3-95r-800a-353x175x190.html
јккумул€тор VARTA Silver F18 (85R);9150руб.;8550руб.;≈мкость: 85 јчѕусковой ток: 800 јѕол€рность:ќбратна€ [- +]√абариты: 315x175x175√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-varta-silver-f18-85r-800a-315x175x175.html
јккумул€тор VARTA Silver H3 (100R);9350руб.;8650руб.;≈мкость: 100 јчѕусковой ток: 830 јѕол€рность:ќбратна€ [- +]√абариты: 353x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-varta-silver-h3-100r-830a-353x175x190.html
јккумул€тор VARTA Silver I1 (110R);10650руб.;9950руб.;≈мкость: 110 јчѕусковой ток: 920 јѕол€рность:ќбратна€ [- +]√абариты: 393x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-varta-silver-i1-110r-920a-393x175x190.html
јккумул€тор VARTA AGM E39 (70R);13100руб.;12600руб.;≈мкость: 70 јчѕусковой ток: 760 јѕол€рность:ќбратна€ [- +]√абариты: 278x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-varta-agm-e39-70r-760a-278x175x190.html
јккумул€тор VARTA Promotive Silver M18 (180R);14800руб.;13400руб.;≈мкость: 180 јчѕусковой ток: 1000 јѕол€рность:ќбратна€ [+ -]√абариты: 513x223x223√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-varta-promotives-m18-180euro-1000a-513x223x223.html
јккумул€тор VARTA AGM F21 (80R);14850руб.;14250руб.;≈мкость: 80 јчѕусковой ток: 800 јѕол€рность:ќбратна€ [- +]√абариты: 315x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-varta-agm-f21-80r-800a-315x175x190.html
јккумул€тор VARTA G14 AGM (95R);15150руб.;14450руб.;≈мкость: 95 јчѕусковой ток: 850 јѕол€рность:ќбратна€ [- +]√абариты: 353x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-varta-agm-g14-95r-850a-353x175x190.html
јккумул€тор VARTA Promotive Black N5 (220R);15600руб.;13900руб.;≈мкость: 220 јчѕусковой ток: 1150 јѕол€рность:ќбратна€ [+ -]√абариты: 518x276x242√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-varta-promotiveblack-n5-220euro-1150a-518x276x242.html
јккумул€тор VARTA гелевый аккумул€тор AGM H15 105R;17000руб.;16300руб.;≈мкость: 105 јчѕусковой ток: 950 јѕол€рность:ќбратна€ [- +]√абариты: 393x175x190√аранти€: 24 мес€ца;https://akbmag.ru//catalog/akkumulator-varta-agm-h15-105r-950a-393x175x190.html
јккумул€тор VARTA Promotive Silver N9 (225R);17600руб.;15900руб.;≈мкость: 225 јчѕусковой ток: 1150 јѕол€рность:ќбратна€ [+ -]√абариты: 518x276x242√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-varta-promotivesd-n9-225euro-1150a-518x276x242.html
