Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
јккумул€тор SOLITE 50L (65B24R);4300руб.;4000руб.;≈мкость: 50 јчѕусковой ток: 470 јѕол€рность:ѕр€ма€ [+ -]√абариты: 236x128x220√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-solite-65b24r-50l-470a-236x128x220.html
јккумул€тор SOLITE 50Rs (65B24L);4300руб.;4000руб.;≈мкость: 50 јчѕусковой ток: 470 јѕол€рность:ќбратна€ [- +]√абариты: 236x128x220√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-solite-65b24l-50r-470a-236x128x220.html
јккумул€тор Solite 50R (CMF50AL);4700руб.;4400руб.;≈мкость: 50 јчѕусковой ток: 470 јѕол€рность:ќбратна€ [- +]√абариты: 206x172x220√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-solite-50al-50r-470a-206x172x220-23454.html
јккумул€тор SOLITE 50L (CMF50AR);4700руб.;4400руб.;≈мкость: 50 јчѕусковой ток: 470 јѕол€рность:ѕр€ма€ [+ -]√абариты: 206x172x220√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-solite-50ar-50l-470a-206x172x184.html
јккумул€тор SOLITE CMF 26-R550;5450руб.;4950руб.;≈мкость: 60 јчѕусковой ток: 550 јѕол€рность:ќбратна€ [- +]√абариты: 206x172x205√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-solite-cmf-26-r550-60r-550a-206x172x205.html
јккумул€тор SOLITE 65R (75D23LS);5750руб.;5250руб.;≈мкость: 65 јчѕусковой ток: 550 јѕол€рность:ќбратна€ [- +]√абариты: 230x168x205√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-solite-75d23l-65r-550a-230x168x220.html
јккумул€тор SOLITE 70R (85D23LBS);5900руб.;5400руб.;≈мкость: 70 јчѕусковой ток: 580 јѕол€рность:ќбратна€ [- +]√абариты: 230x172x204√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-solite-85d23lb-70r-580a-230x168x204.html
јккумул€тор SOLITE 85R (95D26L)без борта;6250руб.;5650руб.;≈мкость: 85 јчѕусковой ток: 650 јѕол€рность:ќбратна€ [- +]√абариты: 260x168x220√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-solite-95d26l-bez-borta-85r-650a-260x168x220.html
јккумул€тор SOLITE 85L (95D26RB);6250руб.;5650руб.;≈мкость: 85 јчѕусковой ток: 650 јѕол€рность:ѕр€ма€ [+ -]√абариты: 260x168x220√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-solite-95d26rb-85l-650a-260x168x220.html
јккумул€тор SOLITE 78-750 (85L) боковые клеммы;7450руб.;6850руб.;≈мкость: 85 јчѕусковой ток: 750 јѕол€рность:ѕр€ма€ [+ -]√абариты: 260x180x184√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-solite-78-750-85l-750a-260x179x184.html
јккумул€тор SOLITE 95R (115D31LB);7450руб.;6750руб.;≈мкость: 95 јчѕусковой ток: 750 јѕол€рность:ќбратна€ [- +]√абариты: 301x175x220√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-solite-115d31lb-95r-750a-301x175x220.html
јккумул€тор SOLITE EFB Q85;7900руб.;7400руб.;≈мкость: 70 јчѕусковой ток: 730 јѕол€рность:ќбратна€ [- +]√абариты: 230x173x220√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-solite-efb-q85-70r-730a-230x172x220.html
јккумул€тор SOLITE CMF 65-850;8700руб.;8100руб.;≈мкость: 85 јчѕусковой ток: 850 јѕол€рность:ѕр€ма€ [+ -]√абариты: 294x189x195√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-solite-cmf-65-850-100l-850a-294x189x195.html
јккумул€тор SOLITE EFB S95;9050руб.;8450руб.;≈мкость: 80 јчѕусковой ток: 790 јѕол€рность:ќбратна€ [- +]√абариты: 260x175x220√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-solite-efb-s95-80r-790a-260x172x220.html
јккумул€тор SOLITE 31S-1000;10150руб.;9150руб.;≈мкость: 140 јчѕусковой ток: 1100 јѕол€рность:ѕр€ма€ [+ -]√абариты: 330x173x240√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-solite-31s-1000-120-1000a-330x173x240.html
јккумул€тор SOLITE 31P-1000;10150руб.;9150руб.;≈мкость: 140 јчѕусковой ток: 1100 јѕол€рность:”ниверсальна€√абариты: 330x173x240√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-solite-31-1000-140uni-1000a-330x173x240.html
јккумул€тор SOLITE EFB 80R;10200руб.;9600руб.;≈мкость: 80 јчѕусковой ток: 740 јѕол€рность:ќбратна€ [- +]√абариты: 315x175x190√аранти€: 36 мес€цев;https://akbmag.ru//catalog/akkumulator-solite-efb-80r-740a-315x175x190.html
